name,url,test_type,description,duration,adaptive_support,remote_support
Data Entry Ten Key Split Screen,https://www.shl.com/products/product-catalog/view/data-entry-ten-key-split-screen/,K,Data Entry Ten Key Split Screen: Data Entry Ten Key Split Screen assessment measures ability to enter numbers using a numeric keypad. The test measures accuracy and speed.,Approximate Completion Time in minutes = 3,No,Yes
Data Science (New),https://www.shl.com/products/product-catalog/view/data-science-new/,K,"Data Science (New): Multi-choice test that measures the conceptual knowledge on how to use machine learning to analyze data, extract information, draw conclusions and make…",Approximate Completion Time in minutes = 14,No,Yes
Data Warehousing Concepts,https://www.shl.com/products/product-catalog/view/data-warehousing-concepts/,K,"Data Warehousing Concepts: The Data Warehousing Concepts test measures knowledge of Data Warehousing. Designed for experienced users, this test covers the following topics: Big Data and…",Approximate Completion Time in minutes = 25,No,Yes
Dependability and Safety Instrument (DSI),https://www.shl.com/products/product-catalog/view/dependability-and-safety-instrument-dsi/,P,Dependability and Safety Instrument (DSI): The DSI is a short pre-screening tool for many key entry-level roles. It is designed to identify potential employees who will have good dependability and…,Approximate Completion Time in minutes = 10,No,Yes
Dermatology (New),https://www.shl.com/products/product-catalog/view/dermatology-new/,K,"Dermatology (New): Multi-choice test that measures the knowledge of various diseases related to skin, their symptoms, the drugs used to treat them, and different terminologies…",Approximate Completion Time in minutes = 3,No,Yes
Desktop Support (New),https://www.shl.com/products/product-catalog/view/desktop-support-new/,K,"Desktop Support (New): Multi-choice test that measures the knowledge of networking, peripheral components, operating systems, troubleshooting and providing technical support.",Approximate Completion Time in minutes = 8,No,Yes
Digital Advertising (New),https://www.shl.com/products/product-catalog/view/digital-advertising-new/,K,Digital Advertising (New): Multi-choice test that measures the candidate's knowledge about use of AdWords and tools to analyze ad performance on digital media.,Approximate Completion Time in minutes = 7,No,Yes
Digital Readiness Development Report - IC,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report/,P,Digital Readiness Development Report - IC: This participant-oriented report is aimed at individual contributors (non-managerial) and summarizes the way that they have described their typical style at…,,No,Yes
Digital Readiness Development Report - Manager,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report-manager/,P,Digital Readiness Development Report - Manager: This participant-oriented report is aimed employees with management responsibilities and summarizes the way that they have described their typical style at…,,No,Yes
Professional + 7.1 (Americas),https://www.shl.com/products/product-catalog/view/professional-7-1-%28americas%29/,"B,C,P","Professional + 7.1 (Americas): Our Professional + 7.1 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative…",Approximate Completion Time in minutes = 56,No,Yes
Professional + 7.1 (International),https://www.shl.com/products/product-catalog/view/professional-7-1-solution/,"B,C,P","Professional + 7.1 (International): Our Professional + 7.1 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative…",Approximate Completion Time in minutes = 56,No,Yes
Professional 7.1 (International),https://www.shl.com/products/product-catalog/view/professional-7-1-solution-4247/,"C,B","Professional 7.1 (International): Our Professional 7.1 solution is designed for all non-managerial professional individual contributor positions. Sample tasks for these jobs include, but are…",Approximate Completion Time in minutes = 33,No,Yes
Professional 8.0 JFA,https://www.shl.com/products/product-catalog/view/professional-8-0-jfa/,"B,K,P",Professional 8.0 JFA: The Professional 8.0 Job-Focused Assessment is designed for all non-managerial professional/individual contributor positions. It measures behaviors that…,Approximate Completion Time in minutes = 16,No,Yes
Docker (New),https://www.shl.com/products/product-catalog/view/docker-new/,K,"Docker (New): Multi-choice test that measures the knowledge of Docker container, data management, Docker performance and swarm.",Approximate Completion Time in minutes = 10,No,Yes
Dojo (New),https://www.shl.com/products/product-catalog/view/dojo-new/,K,"Dojo (New): Multi-choice test that measures the knowledge of Dojo architecture, classes and libraries, styles, animation and Dojo queries.",Approximate Completion Time in minutes = 11,No,Yes
Drupal (New),https://www.shl.com/products/product-catalog/view/drupal-new/,K,"Drupal (New): Multi-choice test that measures the knowledge of Drupal setup, content management, user interface, module development and security.",Approximate Completion Time in minutes = 17,No,Yes
DSI v1.1 Interpretation Report,https://www.shl.com/products/product-catalog/view/dsi-v1-1-interpretation-report/,P,DSI v1.1 Interpretation Report: DSI v1.1 Interpretation Report,,No,Yes
Econometrics (New),https://www.shl.com/products/product-catalog/view/econometrics-new/,K,"Econometrics (New): Multi-choice test that measures the knowledge of statistical concepts, exploratory analysis and statistical testing required to analyze economic data.",Approximate Completion Time in minutes = 11,No,Yes
Economics (New),https://www.shl.com/products/product-catalog/view/economics-new/,K,"Economics (New): Multi-choice test that measures the conceptual knowledge of microeconomics, macroeconomics and international trade.",Approximate Completion Time in minutes = 13,No,Yes
Electrical and Electronics Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-and-electronics-engineering-new/,K,"Electrical and Electronics Engineering (New): Multi-choice test that measures the candidate’s knowledge and understanding on fundamentals of electrical engineering, instrumentation and control system and…",Approximate Completion Time in minutes = 14,No,Yes
Electrical Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-engineering-new/,K,"Electrical Engineering (New): Multi-choice test that measures the knowledge of basic electrical engineering, electrical machines, power systems, instrumentation, control systems and basic…",Approximate Completion Time in minutes = 8,No,Yes
Electronics & Telecommunications Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-telecommunications-engineering-new/,K,"Electronics & Telecommunications Engineering (New): Multi-choice test that measures the candidate’s knowledge and understanding on semiconductors and semiconductor devices, analog and digital electronics…",Approximate Completion Time in minutes = 15,No,Yes
Electronics and Embedded Systems Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/,K,"Electronics and Embedded Systems Engineering (New): Multi-choice test that measures the candidate’s knowledge and understanding on concepts like embedded systems and, analog and digital electronics.",Approximate Completion Time in minutes = 18,No,Yes
Electronics and Semiconductor Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-semiconductor-engineering-new/,K,"Electronics and Semiconductor Engineering (New): Multi-choice test that measures the knowledge of semiconductors, two terminal and three terminal devices, analog electronics, digital electronics and basics of…",Approximate Completion Time in minutes = 7,No,Yes
English Comprehension (New),https://www.shl.com/products/product-catalog/view/english-comprehension-new/,K,"English Comprehension (New): Multiple-choice test that measures vocabulary, grammar and reading comprehension skills.",Approximate Completion Time in minutes = 0,No,Yes
Sales Professional 7.1 (Americas),https://www.shl.com/products/product-catalog/view/sales-professional-7-1-%28americas%29/,"B,C","Sales Professional 7.1 (Americas): Our Sales Professional 7.1 solution is designed for entry to mid-level sales positions in which employees proactively sell products to customers, develop…",Approximate Completion Time in minutes = 21,No,Yes
Enterprise Java Beans (New),https://www.shl.com/products/product-catalog/view/enterprise-java-beans-new/,K,"Enterprise Java Beans (New): Multi-choice test that measures the knowledge of enterprise Java beans (EJB), types of EJB, transactions and concurrency.",Approximate Completion Time in minutes = 4,No,Yes
Enterprise Leadership Report 1.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report/,P,Enterprise Leadership Report 1.0: Assess and benchmark your leaders against enterprise leadership - the model for leader impact to drive business results in a complex work environment.  For…,,No,Yes
Enterprise Leadership Report 2.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report-2-0/,P,Enterprise Leadership Report 2.0: Assess and benchmark your leaders against enterprise leadership - the model for leader impact to drive business results in a complex work environment.  For…,,No,Yes
Entry Level Customer Serv-Retail & Contact Center,https://www.shl.com/products/product-catalog/view/entry-level-customer-serv-retail-and-contact-center/,"P,C",Entry Level Customer Serv-Retail & Contact Center: The Precise Fit Entry Level Customer Service Solution (Retail/Contact Center) is for entry-level positions in which employees interact with customers by…,Approximate Completion Time in minutes = 19,No,Yes
ETL Testing (New),https://www.shl.com/products/product-catalog/view/etl-testing-new/,K,"ETL Testing (New): Multi-choice test that measures the knowledge of ETL architecture, data warehousing, dimensions, DBMS concepts like data manipulation, constraints, ETL testing…",Approximate Completion Time in minutes = 9,No,Yes
Executive Scenarios,https://www.shl.com/products/product-catalog/view/executive-scenarios/,B,Executive Scenarios: Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is…,Approximate Completion Time in minutes = Untimed,No,Yes
Executive Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/executive-scenarios-narrative-report/,B,Executive Scenarios Narrative Report: Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is…,,No,Yes
Store Manager 7.1 (Americas),https://www.shl.com/products/product-catalog/view/store-manager-7-1-%28americas%29/,"B,C",Store Manager 7.1 (Americas): Our Store Manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees in a retail or…,Approximate Completion Time in minutes = 34,No,Yes
Executive Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/executive-scenarios-profile-report/,B,Executive Scenarios Profile Report: Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is…,,No,Yes
ExpressJS (New),https://www.shl.com/products/product-catalog/view/expressjs-new/,K,"ExpressJS (New): Multi-choice test that measures the knowledge of routing, error handling, security, middleware and performance & reliability in ExpressJS.",Approximate Completion Time in minutes = 7,No,Yes
Filing - Names (R1),https://www.shl.com/products/product-catalog/view/filing-names-r1/,K,Filing - Names (R1): This test measures ability to sort names in alphabetical order. Test takers are shown a graphical display of four folder tabs -- three contain alphabetized…,Approximate Completion Time in minutes = 3,No,Yes
Filing - Numbers,https://www.shl.com/products/product-catalog/view/filing-numbers/,K,Filing - Numbers: This test measures ability to sort items in numerical order. Test takers are shown a graphical display of four folder tabs -- three contain numbers and one is…,Approximate Completion Time in minutes = 3,No,Yes
Financial Accounting (New),https://www.shl.com/products/product-catalog/view/financial-accounting-new/,K,"Financial Accounting (New): Multi-choice test that measures the ability to post journal entries, classify items into assets and liabilities, analyze financial statements and calculate…",Approximate Completion Time in minutes = 9,No,Yes
Financial and Banking Services (New),https://www.shl.com/products/product-catalog/view/financial-and-banking-services-new/,K,"Financial and Banking Services (New): Multi-choice test that measures the knowledge of investment products, banking products, taxation and principles of Macroeconomics.",Approximate Completion Time in minutes = 9,No,Yes
Fire Engineering (New),https://www.shl.com/products/product-catalog/view/fire-engineering-new/,K,"Fire Engineering (New): Multi-choice test that measures the knowledge of fire engineering principles, basic workplace safety and safety management.",Approximate Completion Time in minutes = 10,No,Yes
Following Instructions v1 - UK (R1),https://www.shl.com/products/product-catalog/view/following-instructions-v1-uk-r1/,K,Following Instructions v1 - UK (R1): This test measures a candidate's ability to follow detailed instructions and then select the correct course of action. Candidates are presented with a set of…,Approximate Completion Time in minutes = 8,No,Yes
Following Instructions v1 - US (R2),https://www.shl.com/products/product-catalog/view/following-instructions-v1-us-r2/,K,Following Instructions v1 - US (R2): This test measures a candidate's ability to follow detailed instructions and then select the correct course of action. Test takers are presented with a set of…,Approximate Completion Time in minutes = 8,No,Yes
Food and Beverage Services (New),https://www.shl.com/products/product-catalog/view/food-and-beverage-services-new/,K,"Food and Beverage Services (New): Multi-choice test that measures the knowledge of meal planning, service preparation, types of service equipment, and types of beverages.",Approximate Completion Time in minutes = 7,No,Yes
Food Science (New),https://www.shl.com/products/product-catalog/view/food-science-new/,K,"Food Science (New): Multi-choice test that measures the knowledge of food chemistry, nutrition, food microbiology, food engineering and food product technology.",Approximate Completion Time in minutes = 6,No,Yes
Front Office Management (New),https://www.shl.com/products/product-catalog/view/front-office-management-new/,K,Front Office Management (New): Multi-choice test that measures the knowledge of front office operations.,Approximate Completion Time in minutes = 7,No,Yes
Store Manager 7.1 (International),https://www.shl.com/products/product-catalog/view/store-manager-7-1-%28international%29/,"C,B",Store Manager 7.1 (International): Our Store Manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees in a retail or…,Approximate Completion Time in minutes = 34,No,Yes
Supervisor 7.1 (Americas),https://www.shl.com/products/product-catalog/view/supervisor-7-1-%28americas%29/,"B,C,P",Supervisor 7.1 (Americas): Our Supervisor 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for…,Approximate Completion Time in minutes = 29,No,Yes
Supervisor 7.1 (International),https://www.shl.com/products/product-catalog/view/supervisor-7-1-%28international%29/,"P,C,B",Supervisor 7.1 (International): Our Supervisor 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for…,Approximate Completion Time in minutes = 29,No,Yes
Technology Professional 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/technology-professional-8-0-job-focused-assessment/,"C,P","Technology Professional 8.0 Job Focused Assessment: The Technology Job Focused Assessment assesses  key behavioral attributes  required for success in fast-paced, rapidly evolving  technology environments…",Approximate Completion Time in minutes = 16,No,Yes
Fundamentals of Chemistry (New),https://www.shl.com/products/product-catalog/view/fundamentals-of-chemistry-new/,K,"Fundamentals of Chemistry (New): Multi-choice test that measures the knowledge of physical chemistry, inorganic chemistry and organic chemistry.",Approximate Completion Time in minutes = 8,No,Yes
Fundamentals of Physics (New),https://www.shl.com/products/product-catalog/view/fundamentals-of-physics-new/,K,"Fundamentals of Physics (New): Multi-choice test that measures the knowledge of classical mechanics, Newton's laws of motion, electromagnetism, EM waves, thermodynamics and modern physics.",Approximate Completion Time in minutes = 8,No,Yes
General Diseases (New),https://www.shl.com/products/product-catalog/view/general-diseases-new/,K,"General Diseases (New): Multi-choice test that measures the knowledge of common diseases of ear, nose, throat and teeth, their symptoms, drugs used to treat them and various drugs…",Approximate Completion Time in minutes = 5,No,Yes
Geoinformatics Engineering (New),https://www.shl.com/products/product-catalog/view/geoinformatics-engineering-new/,K,"Geoinformatics Engineering (New): Multi-choice test that measures the knowledge of remote sensing, digital image processing, digital photogrammetry, planning and surveying, geology, GIS and…",Approximate Completion Time in minutes = 10,No,Yes
Geoscience Engineering (New),https://www.shl.com/products/product-catalog/view/geoscience-engineering-new/,K,"Geoscience Engineering (New): Multi-choice test that measures the knowledge of exploration geology, soil mechanics, rock mechanics, geophysical investigation, geological surveying.",Approximate Completion Time in minutes = 8,No,Yes
GIT (New),https://www.shl.com/products/product-catalog/view/git-new/,K,GIT (New): Multi-choice test that measures the knowledge of how to use GIT for version control.,Approximate Completion Time in minutes = 13,No,Yes
Global Skills Assessment,https://www.shl.com/products/product-catalog/view/global-skills-assessment/,"C,K",Global Skills Assessment: The Global Skills Assessment (GSA) is an assessment used to measure 96 discrete skills/behaviors. These 96 skill scores are directly aligned to the most…,Approximate Completion Time in minutes = 16,No,Yes
Graduate Scenarios,https://www.shl.com/products/product-catalog/view/graduate-scenarios/,B,Graduate Scenarios: Graduate Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is…,Approximate Completion Time in minutes = Untimed,No,Yes
Graduate Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/graduate-scenarios-narrative-report/,B,Graduate Scenarios Narrative Report: Graduate Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is…,,No,Yes
Graduate Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/graduate-scenarios-profile-report/,B,Graduate Scenarios Profile Report: Graduate Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is…,,No,Yes
Hibernate (New),https://www.shl.com/products/product-catalog/view/hibernate-new/,K,"Hibernate (New): Multi-choice test that measures the knowledge of Hibernate architecture, Hibernate mapping and Hibernate query language(HQL).",Approximate Completion Time in minutes = 5,No,Yes
HIPAA (Security),https://www.shl.com/products/product-catalog/view/hipaa-security/,K,HIPAA (Security): The HIPAA (Security) test measures knowledge of compliance with the standards required by the Security and Electronic Signature Standards as they apply to…,Approximate Completion Time in minutes = 15 to 35,No,Yes
Teller 7.0,https://www.shl.com/products/product-catalog/view/teller-7-0/,"B,K,P,S","Teller 7.0: Teller or cashier positions are integral to financial institutions as they conduct numerous banking transactions each day, as well as being the face of the…",Approximate Completion Time in minutes = 35,No,Yes
Workplace Safety - Individual 7.1 (Americas),https://www.shl.com/products/product-catalog/view/workplace-safety-individual-7-1-solution/,B,Workplace Safety - Individual 7.1 (Americas): Our Workplace Safety - Individual 7.1 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and…,Approximate Completion Time in minutes = 16,No,Yes
Workplace Safety - Team 7.1 (Americas),https://www.shl.com/products/product-catalog/view/workplace-safety-team-7-1-%28americas%29/,"B,C,P",Workplace Safety - Team 7.1 (Americas): The Workplace Safety – Team 7.1 solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe…,Approximate Completion Time in minutes = 20,No,Yes
Workplace Safety - Team 7.1 (International),https://www.shl.com/products/product-catalog/view/workplace-safety-team-7-1-solution/,"B,C,P",Workplace Safety - Team 7.1 (International): The Workplace Safety – Team 7.1 solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe…,Approximate Completion Time in minutes = 20,No,Yes
HiPo Assessment Report 1.0,https://www.shl.com/products/product-catalog/view/hipo-assessment-report-1-0/,"C,P","HiPo Assessment Report 1.0: Part of SHL’s High Potential solution and developed from SHL’s extensive research into high-potential programs, the HIPO Assessment Report 1.0 helps…",,No,Yes
HiPo Assessment Report 2.0,https://www.shl.com/products/product-catalog/view/hipo-assessment-report-2-0/,"C,P","HiPo Assessment Report 2.0: Part of SHL’s High Potential solution and developed from SHL’s extensive research into high-potential programs, the HIPO Assessment Report 2.0 helps…",,No,Yes
HiPo Unlocking Potential Report 2.0,https://www.shl.com/products/product-catalog/view/hipo-unlocking-potential-report-2-0/,C,"HiPo Unlocking Potential Report 2.0: This report draws insights from the Occupational Personality QuestionnaireTM (OPQ32). Used for individuals who are selected into a client’s HiPo program, it…",,No,Yes
Housekeeping (New),https://www.shl.com/products/product-catalog/view/housekeeping-new/,K,"Housekeeping (New): Multi-choice test that measures the knowledge of housekeeping activities such as cleaning, laundry, room maintenance and routine checks.",Approximate Completion Time in minutes = 7,No,Yes
HTML/CSS (New),https://www.shl.com/products/product-catalog/view/htmlcss-new/,K,HTML/CSS (New): Multi-choice test that measures the knowledge of HTML to create a user interface and CSS to stylize it.,Approximate Completion Time in minutes = 12,No,Yes
HTML5 (New),https://www.shl.com/products/product-catalog/view/html5-new/,K,HTML5 (New): Multi-choice test that measures the knowledge of HTML5 and its application in creating a user interface.,Approximate Completion Time in minutes = 11,No,Yes
Human Resources (New),https://www.shl.com/products/product-catalog/view/human-resources-new/,K,Human Resources (New): Multi-choice test that measures the candidate on his/her knowledge and understanding of the basic concepts of Human Resources Management like planning…,Approximate Completion Time in minutes = 8,No,Yes
IBM DataStage (New),https://www.shl.com/products/product-catalog/view/ibm-datastage-new/,K,"IBM DataStage (New): Multi-choice test that measures the knowledge on the concepts of Data Warehouse fundamentals, DataStage fundamentals, DataStage stages and, DataStage Designer…",Approximate Completion Time in minutes = 15,No,Yes
IBM Sterling Order Management System (New),https://www.shl.com/products/product-catalog/view/ibm-sterling-order-management-system-new/,K,"IBM Sterling Order Management System (New): Multi-choice test that measures the knowledge of the basic concepts of Sterling Order Management System installation, modeling, extensibility, inventory…",Approximate Completion Time in minutes = 13,No,Yes
Industrial Engineering (New),https://www.shl.com/products/product-catalog/view/industrial-engineering-new/,K,"Industrial Engineering (New): Multi-choice test that measures the conceptual knowledge of design, quality control, reliability, management and costing of manufacturing systems.",Approximate Completion Time in minutes = 9,No,Yes
Informatica (Architecture) (New),https://www.shl.com/products/product-catalog/view/informatica-architecture-new/,K,"Informatica (Architecture) (New): Multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with Informatica.",Approximate Completion Time in minutes = 10,No,Yes
Informatica (Developer) (New),https://www.shl.com/products/product-catalog/view/informatica-developer-new/,K,"Informatica (Developer) (New): Multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with Informatica.",Approximate Completion Time in minutes = 11,No,Yes
Instrumentation Engineering (New),https://www.shl.com/products/product-catalog/view/instrumentation-engineering-new/,K,"Instrumentation Engineering (New): Multi-choice test that measures the conceptual knowledge of instrumentation, electronics, signals and communication systems.",Approximate Completion Time in minutes = 12,No,Yes
Interpersonal Communications,https://www.shl.com/products/product-catalog/view/interpersonal-communications/,K,Interpersonal Communications: This adaptive test measures the candidate's knowledge of how to employ effective verbal and non-verbal communication to send his or her message and manage…,Approximate Completion Time in minutes = 15 to 35,No,Yes
Interviewing and Hiring Concepts (U.S.),https://www.shl.com/products/product-catalog/view/interviewing-and-hiring-concepts-u-s/,K,Interviewing and Hiring Concepts (U.S.): The Interviewing and Hiring Concepts (U.S.) test measures knowledge of the interviewing  and hiring process. Designed for all employees and hiring managers…,Approximate Completion Time in minutes = 15 to 35,No,Yes
iOS Development (New),https://www.shl.com/products/product-catalog/view/ios-development-new/,K,"iOS Development (New): Multi-choice test that measures the knowledge of Objective C, NSObject, iOS fundamentals and UI design on iOS phones.",Approximate Completion Time in minutes = 7,No,Yes
ITIL (IT Infrastructure Library) (New),https://www.shl.com/products/product-catalog/view/itil-it-infrastructure-library-new/,K,"ITIL (IT Infrastructure Library) (New): Multi-choice test that measures the knowledge of capacity management, change management and problem management.",Approximate Completion Time in minutes = 8,No,Yes
Java 2 Platform Enterprise Edition 1.4 Fundamental,https://www.shl.com/products/product-catalog/view/java-2-platform-enterprise-edition-1-4-fundamental/,K,"Java 2 Platform Enterprise Edition 1.4 Fundamental: The Java 2 Platform Enterprise Edition (J2EE) 1.4 Fundamentals test measures knowledge of basic J2EE 1.4 Fundamentals. Designed for entry-level users, this…",Approximate Completion Time in minutes = 30,No,Yes
Java 8 (New),https://www.shl.com/products/product-catalog/view/java-8-new/,K,"Java 8 (New): Multi-choice test that measures the knowledge of Java class design, exceptions, generics, collections, concurrency, JDBC and Java I/O fundamentals.",Approximate Completion Time in minutes = 18,No,Yes
Java Design Patterns (New),https://www.shl.com/products/product-catalog/view/java-design-patterns-new/,K,Java Design Patterns (New): Multi-choice test that measures the knowledge of the types of design patterns in Java and principles like threads and refactoring used in Java design patterns.,Approximate Completion Time in minutes = 5,No,Yes
Java Frameworks (New),https://www.shl.com/products/product-catalog/view/java-frameworks-new/,K,"Java Frameworks (New): Multi-choice test that measures the knowledge of different Java frameworks - Struts, Hibernate and Spring.",Approximate Completion Time in minutes = 17,No,Yes
Java Platform Enterprise Edition 7 (Java EE 7),https://www.shl.com/products/product-catalog/view/java-platform-enterprise-edition-7-java-ee-7/,K,"Java Platform Enterprise Edition 7 (Java EE 7): The Java Platform Enterprise Edition 7 (Java EE 7) test measures knowledge of the Java EE 7 architecture. Designed for Java programmers and architects, this…",Approximate Completion Time in minutes = 30,No,Yes
Java Web Services (New),https://www.shl.com/products/product-catalog/view/java-web-services-new/,K,"Java Web Services (New): Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, file handling, exception handling, threads, generics and inner class.",Approximate Completion Time in minutes = 8,No,Yes
JavaScript (New),https://www.shl.com/products/product-catalog/view/javascript-new/,K,JavaScript (New): Multi-choice test that measures knowledge of programming in the JavaScript language and its application in front-end development.,Approximate Completion Time in minutes = 9,No,Yes
Jenkins (New),https://www.shl.com/products/product-catalog/view/jenkins-new/,K,"Jenkins (New): Multi-choice test that measures the knowledge of Jenkins configuration and deployment, plugins, nodes, build jobs and testing.",Approximate Completion Time in minutes = 6,No,Yes
Job Control Language (New),https://www.shl.com/products/product-catalog/view/job-control-language-new/,K,"Job Control Language (New): Multi-choice test that measures the knowledge of JCL libraries, parameters, statements, datasets, generation of data groups and conditional processing.",Approximate Completion Time in minutes = 10,No,Yes
jQuery (New),https://www.shl.com/products/product-catalog/view/jquery-new/,K,"jQuery (New): Multi-choice test that measures the knowledge of jQuery events and effects, jQuery animation, UI, references, and using jQuery with AJAX.",Approximate Completion Time in minutes = 10,No,Yes
Kubernetes (New),https://www.shl.com/products/product-catalog/view/kubernetes-new/,K,"Kubernetes (New): Multi-choice test that measures the knowledge of the architecture, cluster and services of Kubernetes.",Approximate Completion Time in minutes = 6,No,Yes
Linux Administration (New),https://www.shl.com/products/product-catalog/view/linux-administration-new/,K,Linux Administration (New): Multi-choice test that measures knowledge of the Linux operating system and its application in system administration and network administration.,Approximate Completion Time in minutes = 10,No,Yes
Linux Operating System,https://www.shl.com/products/product-catalog/view/linux-operating-system/,K,"Linux Operating System : Multi-choice test that measures the knowledge of Linux system, command line, filesystem, memory management, and process management.",Approximate Completion Time in minutes = 15,No,Yes
Linux Programming (General),https://www.shl.com/products/product-catalog/view/linux-programming-general/,K,"Linux Programming (General): The Linux Programming (General) test measures knowledge of programming in a Linux environment. Designed for experienced programmers, this test covers the…",Approximate Completion Time in minutes = 25,No,Yes
Load Runner (New),https://www.shl.com/products/product-catalog/view/load-runner-new/,K,"Load Runner (New): Multi-choice test that measures the knowledge on the concepts of Load Runner architecture & installation, virtual user generator (VUGEN), controller…",Approximate Completion Time in minutes = 6,No,Yes
Management Scenarios,https://www.shl.com/products/product-catalog/view/management-scenarios/,B,Management Scenarios: Managerial Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It…,Approximate Completion Time in minutes = Untimed,No,Yes
Managerial Scenarios Candidate Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-candidate-report/,B,Managerial Scenarios Candidate Report: Managerial Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It…,,No,Yes
Managerial Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-narrative-report/,B,Managerial Scenarios Narrative Report: Managerial Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It…,,No,Yes
Managerial Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-profile-report/,B,Managerial Scenarios Profile Report: Managerial Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It…,,No,Yes
Manual Testing (New),https://www.shl.com/products/product-catalog/view/manual-testing-new/,K,"Manual Testing (New): Multi-choice test that measures the knowledge of the software testing life cycle, testing tools and techniques, design of test cases and generation of test…",Approximate Completion Time in minutes = 10,No,Yes
Manufac. & Indust. - Mechanical & Vigilance 8.0,https://www.shl.com/products/product-catalog/view/mechanical-and-vigilance-focus-8-0/,"A,P",Manufac. & Indust. - Mechanical & Vigilance 8.0: The Manufacturing & Industrial Mechanical & Vigilance Focus 8.0 Job-Focused Assessment   measures the behaviors that underlie successful and safe performance…,Approximate Completion Time in minutes = 49,No,Yes
Manufac. & Indust. - Safety & Dependability 8.0,https://www.shl.com/products/product-catalog/view/safety-and-dependability-focus-8-0/,P,Manufac. & Indust. - Safety & Dependability 8.0: The Manufacturing & Industrial Safety & Dependability Focus 8.0 Job-Focused Assessment   measures the behaviors that underlie safe performance in a work…,Approximate Completion Time in minutes = 16,No,Yes
Manufacturing & Industrial - Essential Focus 8.0,https://www.shl.com/products/product-catalog/view/essential-focus-8-0/,P,Manufacturing & Industrial - Essential Focus 8.0: The Manufacturing & Industrial Essential 8.0 Job-Focused Assessment measures the behaviors   that underlie successful and safe performance in an…,Approximate Completion Time in minutes = 16,No,Yes
Manufacturing & Industrial - Mechanical Focus 8.0,https://www.shl.com/products/product-catalog/view/mechanical-focus-8-0/,"A,P",Manufacturing & Industrial - Mechanical Focus 8.0: The Manufacturing & Industrial Mechanical Focus 8.0 Job-Focused Assessment measures the   behaviors that underlie successful and safe performance in an…,Approximate Completion Time in minutes = 31,No,Yes
Manufacturing & Industrial - Vigilance Focus 8.0,https://www.shl.com/products/product-catalog/view/vigilance-focus-8-0/,"A,P",Manufacturing & Industrial - Vigilance Focus 8.0: The Manufacturing and Industrial Vigilance Focus 8.0 Job-Focused Assessment measures the   behaviors that underlie successful and safe performance in an…,Approximate Completion Time in minutes = 34,No,Yes
